Gene stable ID	Gene stable ID version	Gene name	Gene Synonym	Gene type	Chromosome/scaffold name
ENSGALG00000001768	ENSGALG00000001768.6	TENM2	ODZ2	protein_coding	13
ENSGALG00000001768	ENSGALG00000001768.6	TENM2	TEN2	protein_coding	13
ENSGALG00000042003	ENSGALG00000042003.2	FZD10	cFz-10	protein_coding	15
ENSGALG00000041927	ENSGALG00000041927.2	FZD9	cFz-9	protein_coding	19
ENSGALG00000041927	ENSGALG00000041927.2	FZD9	Fz-9	protein_coding	19
ENSGALG00000017242	ENSGALG00000017242.4	FZD4	FZ-4	protein_coding	1
ENSGALG00000004222	ENSGALG00000004222.7	HK1	hexokinase-1	protein_coding	6
ENSGALG00000002424	ENSGALG00000002424.7	RECQL5	RecQ5	protein_coding	18
ENSGALG00000008542	ENSGALG00000008542.7	ADD3	gamma-adducin	protein_coding	6
ENSGALG00000013431	ENSGALG00000013431.5	RAX2	cRax1	protein_coding	28
ENSGALG00000013431	ENSGALG00000013431.5	RAX2	cRaxL	protein_coding	28
ENSGALG00000013431	ENSGALG00000013431.5	RAX2	RAX	protein_coding	28
ENSGALG00000013431	ENSGALG00000013431.5	RAX2	RAXL	protein_coding	28
ENSGALG00000013431	ENSGALG00000013431.5	RAX2	Rx-like	protein_coding	28
ENSGALG00000013431	ENSGALG00000013431.5	RAX2	RX1	protein_coding	28
ENSGALG00000013431	ENSGALG00000013431.5	RAX2	RX2	protein_coding	28
ENSGALG00000017316	ENSGALG00000017316.5	UCP3	UCP	protein_coding	1
ENSGALG00000004465	ENSGALG00000004465.7	PALD1	PALD	protein_coding	6
ENSGALG00000008348	ENSGALG00000008348.6	PDIA3	25D3-membrane-associated	protein_coding	10
ENSGALG00000008348	ENSGALG00000008348.6	PDIA3	58kDa	protein_coding	10
ENSGALG00000008348	ENSGALG00000008348.6	PDIA3	ERp57	protein_coding	10
ENSGALG00000008348	ENSGALG00000008348.6	PDIA3	GRP58	protein_coding	10
ENSGALG00000000452	ENSGALG00000000452.6	TNFRSF10B	TVB	protein_coding	22
ENSGALG00000012952	ENSGALG00000012952.4	BASP1	CAP-23	protein_coding	2
ENSGALG00000015422	ENSGALG00000015422.7	NRG1	pro-neuregulin-1	protein_coding	Z
ENSGALG00000003933	ENSGALG00000003933.5	QSOX1	QSCN6	protein_coding	8
ENSGALG00000027188	ENSGALG00000027188.4	SREBF1	SREBP-1	protein_coding	14
ENSGALG00000027188	ENSGALG00000027188.4	SREBF1	SREBP1	protein_coding	14
ENSGALG00000002162	ENSGALG00000002162.6	ACO1	IREB1	protein_coding	Z
ENSGALG00000002162	ENSGALG00000002162.6	ACO1	IREBP	protein_coding	Z
ENSGALG00000012173	ENSGALG00000012173.6	LGALS3	galectin-3	protein_coding	5
ENSGALG00000012173	ENSGALG00000012173.6	LGALS3	lectin	protein_coding	5
ENSGALG00000037171	ENSGALG00000037171.3	ZNF622	ZPR9	protein_coding	2
ENSGALG00000008097	ENSGALG00000008097.6	CELF1	CUGBP1	protein_coding	5
ENSGALG00000026091	ENSGALG00000026091.3	CACNG4	VDCCG4	protein_coding	18
ENSGALG00000009262	ENSGALG00000009262.6	FGB	fibrinogen	protein_coding	4
ENSGALG00000004974	ENSGALG00000004974.5	PPARG	PPARgamma	protein_coding	12
ENSGALG00000008435	ENSGALG00000008435.5	SUMO1	DAP1	protein_coding	7
ENSGALG00000008435	ENSGALG00000008435.5	SUMO1	GMP1	protein_coding	7
ENSGALG00000008435	ENSGALG00000008435.5	SUMO1	OFC10	protein_coding	7
ENSGALG00000008435	ENSGALG00000008435.5	SUMO1	PIC1	protein_coding	7
ENSGALG00000008435	ENSGALG00000008435.5	SUMO1	SENP2	protein_coding	7
ENSGALG00000008435	ENSGALG00000008435.5	SUMO1	sentrin	protein_coding	7
ENSGALG00000008435	ENSGALG00000008435.5	SUMO1	SMT3	protein_coding	7
